OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount
ORD-00001,2025-01-01,CUST-081,PROD-001,2,0.05
ORD-00002,2025-01-01,CUST-062,PROD-001,1,0.0
ORD-00003,2025-01-01,CUST-098,PROD-009,2,0.0
ORD-00004,2025-01-01,CUST-073,PROD-013,5,0.0
ORD-00005,2025-01-01,CUST-026,PROD-014,2,0.0
ORD-00006,2025-01-03,CUST-066,PROD-001,3,0.0
ORD-00007,2025-01-04,CUST-073,PROD-013,4,0.2
ORD-00008,2025-01-04,CUST-073,PROD-004,1,0.1
ORD-00009,2025-01-05,CUST-040,PROD-010,1,0.0
ORD-00010,2025-01-05,CUST-017,PROD-006,2,0.0
ORD-00011,2025-01-05,CUST-001,PROD-007,2,0.0
ORD-00012,2025-01-06,CUST-089,PROD-002,3,0.0
ORD-00013,2025-01-06,CUST-061,PROD-006,4,0.0
ORD-00014,2025-01-06,CUST-043,PROD-007,1,0.0
ORD-00015,2025-01-07,CUST-042,PROD-010,1,0.0
ORD-00016,2025-01-07,CUST-025,PROD-014,3,0.1
ORD-00017,2025-01-08,CUST-039,PROD-010,1,0.0
ORD-00018,2025-01-08,CUST-035,PROD-002,3,0.0
ORD-00019,2025-01-08,CUST-003,PROD-015,2,0.05
ORD-00020,2025-01-09,CUST-044,PROD-002,2,0.0
ORD-00021,2025-01-10,CUST-051,PROD-010,1,0.0
ORD-00022,2025-01-10,CUST-094,PROD-007,2,0.0
ORD-00023,2025-01-12,CUST-098,PROD-012,2,0.0
ORD-00024,2025-01-12,CUST-012,PROD-001,2,0.05
ORD-00025,2025-01-13,CUST-019,PROD-008,1,0.0
ORD-00026,2025-01-13,CUST-044,PROD-011,3,0.0
ORD-00027,2025-01-13,CUST-059,PROD-013,4,0.1
ORD-00028,2025-01-14,CUST-049,PROD-003,1,0.1
ORD-00029,2025-01-14,CUST-061,PROD-011,1,0.1
ORD-00030,2025-01-14,CUST-017,PROD-006,1,0.0
ORD-00031,2025-01-15,CUST-074,PROD-009,2,0.0
ORD-00032,2025-01-19,CUST-057,PROD-006,2,0.2
ORD-00033,2025-01-19,CUST-055,PROD-009,2,0.05
ORD-00034,2025-01-20,CUST-047,PROD-007,1,0.0
ORD-00035,2025-01-20,CUST-012,PROD-015,1,0.0
ORD-00036,2025-01-22,CUST-062,PROD-009,2,0.0
ORD-00037,2025-01-23,CUST-080,PROD-002,2,0.2
ORD-00038,2025-01-25,CUST-088,PROD-012,5,0.0
ORD-00039,2025-01-25,CUST-083,PROD-008,1,0.0
ORD-00040,2025-01-25,CUST-008,PROD-008,2,0.0
ORD-00041,2025-01-26,CUST-095,PROD-002,2,0.0
ORD-00042,2025-01-26,CUST-021,PROD-012,2,0.1
ORD-00043,2025-01-28,CUST-081,PROD-014,3,0.0
ORD-00044,2025-01-28,CUST-087,PROD-004,2,0.05
ORD-00045,2025-01-28,CUST-080,PROD-014,5,0.2
ORD-00046,2025-01-29,CUST-070,PROD-015,1,0.0
ORD-00047,2025-01-30,CUST-072,PROD-011,1,0.0
ORD-00048,2025-01-31,CUST-025,PROD-015,3,0.0
ORD-00049,2025-02-03,CUST-082,PROD-007,2,0.05
ORD-00050,2025-02-03,CUST-089,PROD-011,1,0.0
ORD-00051,2025-02-03,CUST-012,PROD-004,1,0.0
ORD-00052,2025-02-03,CUST-015,PROD-004,1,0.05
ORD-00053,2025-02-04,CUST-059,PROD-006,4,0.0
ORD-00054,2025-02-04,CUST-026,PROD-010,1,0.2
ORD-00055,2025-02-05,CUST-026,PROD-006,1,0.0
ORD-00056,2025-02-05,CUST-047,PROD-010,1,0.0
ORD-00057,2025-02-06,CUST-032,PROD-015,1,0.0
ORD-00058,2025-02-07,CUST-010,PROD-003,1,0.05
ORD-00059,2025-02-07,CUST-016,PROD-015,2,0.0
ORD-00060,2025-02-08,CUST-071,PROD-009,1,0.1
ORD-00061,2025-02-08,CUST-017,PROD-012,3,0.2
ORD-00062,2025-02-08,CUST-023,PROD-010,1,0.0
ORD-00063,2025-02-08,CUST-026,PROD-014,2,0.2
ORD-00064,2025-02-09,CUST-085,PROD-011,4,0.0
ORD-00065,2025-02-10,CUST-086,PROD-002,2,0.0
ORD-00066,2025-02-11,CUST-007,PROD-006,2,0.0
ORD-00067,2025-02-11,CUST-014,PROD-012,1,0.1
ORD-00068,2025-02-12,CUST-079,PROD-007,1,0.0
ORD-00069,2025-02-13,CUST-007,PROD-012,2,0.0
ORD-00070,2025-02-15,CUST-009,PROD-013,5,0.0
ORD-00071,2025-02-15,CUST-048,PROD-009,2,0.0
ORD-00072,2025-02-16,CUST-072,PROD-013,2,0.0
ORD-00073,2025-02-16,CUST-059,PROD-003,3,0.1
ORD-00074,2025-02-16,CUST-087,PROD-010,2,0.1
ORD-00075,2025-02-17,CUST-093,PROD-003,1,0.0
ORD-00076,2025-02-20,CUST-082,PROD-007,2,0.2
ORD-00077,2025-02-20,CUST-095,PROD-014,5,0.0
ORD-00078,2025-02-20,CUST-094,PROD-004,1,0.2
ORD-00079,2025-02-21,CUST-039,PROD-013,2,0.0
ORD-00080,2025-02-22,CUST-099,PROD-008,1,0.0
ORD-00081,2025-02-22,CUST-018,PROD-013,2,0.0
ORD-00082,2025-02-22,CUST-059,PROD-007,1,0.1
ORD-00083,2025-02-23,CUST-017,PROD-005,2,0.0
ORD-00084,2025-02-23,CUST-014,PROD-007,3,0.0
ORD-00085,2025-02-25,CUST-031,PROD-003,1,0.0
ORD-00086,2025-02-25,CUST-024,PROD-012,2,0.0
ORD-00087,2025-02-26,CUST-099,PROD-002,3,0.0
ORD-00088,2025-02-27,CUST-060,PROD-006,4,0.05
ORD-00089,2025-02-27,CUST-045,PROD-002,1,0.1
ORD-00090,2025-03-02,CUST-098,PROD-003,1,0.0
ORD-00091,2025-03-02,CUST-003,PROD-006,1,0.05
ORD-00092,2025-03-03,CUST-037,PROD-005,5,0.0
ORD-00093,2025-03-03,CUST-043,PROD-008,4,0.1
ORD-00094,2025-03-04,CUST-040,PROD-009,2,0.1
ORD-00095,2025-03-06,CUST-090,PROD-011,3,0.0
ORD-00096,2025-03-07,CUST-055,PROD-003,2,0.05
ORD-00097,2025-03-08,CUST-087,PROD-012,2,0.0
ORD-00098,2025-03-09,CUST-039,PROD-010,1,0.0
ORD-00099,2025-03-10,CUST-015,PROD-003,3,0.1
ORD-00100,2025-03-10,CUST-004,PROD-003,1,0.0
ORD-00101,2025-03-11,CUST-093,PROD-013,3,0.0
ORD-00102,2025-03-11,CUST-086,PROD-013,3,0.0
ORD-00103,2025-03-13,CUST-025,PROD-006,3,0.1
ORD-00104,2025-03-14,CUST-013,PROD-015,1,0.0
ORD-00105,2025-03-15,CUST-082,PROD-015,1,0.0
ORD-00106,2025-03-16,CUST-033,PROD-001,1,0.05
ORD-00107,2025-03-16,CUST-016,PROD-007,1,0.1
ORD-00108,2025-03-16,CUST-042,PROD-012,1,0.0
ORD-00109,2025-03-17,CUST-066,PROD-001,4,0.0
ORD-00110,2025-03-17,CUST-055,PROD-014,2,0.0
ORD-00111,2025-03-19,CUST-099,PROD-005,1,0.0
ORD-00112,2025-03-19,CUST-042,PROD-015,1,0.0
ORD-00113,2025-03-19,CUST-034,PROD-010,2,0.05
ORD-00114,2025-03-21,CUST-030,PROD-013,2,0.0
ORD-00115,2025-03-22,CUST-013,PROD-008,2,0.0
ORD-00116,2025-03-23,CUST-013,PROD-004,4,0.0
ORD-00117,2025-03-24,CUST-018,PROD-005,2,0.1
ORD-00118,2025-03-24,CUST-032,PROD-004,5,0.0
